Manuel Agogo,2,1995-1997, Sheffield Wednesday (Not a college)
McKinley Tennyson,1,1997-2000, UCLA (College)
Willis Forko,2,2003-2005, Connecticut Huskies (College)
Dylan Remick,3,2009-2012, Brown Bears (College)
Bakary Soumare,7,2005-2006, Virginia Cavaliers (College)
Joe Germanese,1,2006-2007, Duke University (College)
Tyrone Mears,1
Jeff Zaun,4,1989-1993, Rutgers University (College)
Kevin Anderson,3
Vitor Gomes,6,1998-2005, Rio Ave (Not a college)
Craig Ziadie,4,1997-2000, University of Richmond (College)
Obafemi Martins,3,2001-2002, Internazionale (Not a college)
Ethan White,5,2009-2010, Maryland Terrapins (College)
Martin Vasquez,3,1980-1983, Los Angeles Golden Eagles (College)
Alec Sundly,1,2010-2013, California Golden Bears (College)
James Twellman,1
Daniele Paponi,1,2004-2005, Parma (Not a college)
Chris Mannella,2,2009-2014, TFC Academy (Not a college)
Adam Ruud,1,2004-2005, Charlotte 49ers (College)
Tyler Ruthven,1,2007-2009, South Carolina Gamecocks (College)
Jaime Castrillon,2
Ahmed Kantari,1,, Paris Saint-Germain (Not a college)
Daniele Dichio,3,1991-1993, Queens Park Rangers (Not a college)
Sebastian Fernandez,1
Mike Munoz,3
Stanley Nyazamba,2,2004-2007, Lee Flames (College)
Juan Cruz,1
Alex DeJohn,1,2009-2012, Old Dominion Monarchs (College)
Alexander Lopez,3,1999-2009, Olimpia (Not a college)
Vardan Adzemian,1
Gustavo Cabrera,2
Long Tan,2
Bryan Róchez,1
Jonathan Top,4,2008-2011, FC Dallas (Not a college)
Dylan Tucker-Gangnes,1
David Estrada,5
Jorge Rojas,2
Cesar Romero,1
Mickey Kydes,1,1982-1985, Long Island University (College)
Tim Ward,8
Marlon Hairston,2,2012-2013, Louisville Cardinals (College)
Andrew Wiedeman,5,2007-2009, California Golden Bears (College)
Stephen Howey,1
Jose Rivera,1
Jose Macotelo,1
Taylor Graham,7,1999-2002, Stanford Cardinal (Not a college)
Federico Higuain,4,, River Plate (Not a college)
Ernest Inneh,1,1988-1991, Brooklyn College (College)
Knox Cameron,2,2001-2004, Michigan Wolverines (College)
